AFFGEOID,NAME,POPEST_2017
0500000US05051,"Garland County, Arkansas",98658
0500000US05053,"Grant County, Arkansas",18165
0500000US05055,"Greene County, Arkansas",45053
0500000US05057,"Hempstead County, Arkansas",21861
0500000US05059,"Hot Spring County, Arkansas",33574
0500000US05061,"Howard County, Arkansas",13478
0500000US05063,"Independence County, Arkansas",37504
0500000US05065,"Izard County, Arkansas",13686
0500000US05067,"Jackson County, Arkansas",17135
0500000US05069,"Jefferson County, Arkansas",69115
0500000US05071,"Johnson County, Arkansas",26552
0500000US05073,"Lafayette County, Arkansas",6862
0500000US05075,"Lawrence County, Arkansas",16525
0500000US05077,"Lee County, Arkansas",9176
0500000US05079,"Lincoln County, Arkansas",13646
0500000US05081,"Little River County, Arkansas",12359
0500000US05083,"Logan County, Arkansas",21722
0500000US05085,"Lonoke County, Arkansas",72898
0500000US05087,"Madison County, Arkansas",16339
0500000US05089,"Marion County, Arkansas",16428
0500000US05091,"Miller County, Arkansas",43984
0500000US05093,"Mississippi County, Arkansas",42159
0500000US05095,"Monroe County, Arkansas",7085
0500000US05097,"Montgomery County, Arkansas",8919
0500000US05099,"Nevada County, Arkansas",8327
0500000US05101,"Newton County, Arkansas",7828
0500000US05103,"Ouachita County, Arkansas",23868
0500000US05105,"Perry County, Arkansas",10348
0500000US05107,"Phillips County, Arkansas",18572
0500000US05109,"Pike County, Arkansas",10726
0500000US05111,"Poinsett County, Arkansas",24154
0500000US05113,"Polk County, Arkansas",20118
0500000US05115,"Pope County, Arkansas",63835
0500000US05117,"Prairie County, Arkansas",8248
0500000US05119,"Pulaski County, Arkansas",393956
0500000US05121,"Randolph County, Arkansas",17557
0500000US05123,"St. Francis County, Arkansas",25930
0500000US05125,"Saline County, Arkansas",119323
0500000US05127,"Scott County, Arkansas",10445
0500000US05129,"Searcy County, Arkansas",7938
0500000US05131,"Sebastian County, Arkansas",128107
0500000US05133,"Sevier County, Arkansas",17115
0500000US05135,"Sharp County, Arkansas",17393
0500000US05137,"Stone County, Arkansas",12537
0500000US05139,"Union County, Arkansas",39449
0500000US05141,"Van Buren County, Arkansas",16506
0500000US05143,"Washington County, Arkansas",231996
0500000US05145,"White County, Arkansas",79016
0500000US05147,"Woodruff County, Arkansas",6571
0500000US05149,"Yell County, Arkansas",21523
0500000US06001,"Alameda County, California",1663190
0500000US06003,"Alpine County, California",1120
0500000US06005,"Amador County, California",38626
0500000US06007,"Butte County, California",229294
0500000US06009,"Calaveras County, California",45670
0500000US06011,"Colusa County, California",21805
0500000US06013,"Contra Costa County, California",1147439
0500000US06015,"Del Norte County, California",27470
0500000US06017,"El Dorado County, California",188987
0500000US06019,"Fresno County, California",989255
0500000US06021,"Glenn County, California",28094
0500000US06023,"Humboldt County, California",136754
0500000US06025,"Imperial County, California",182830
